OTU	Group	Supergroup	MP1153_101bp	MP1153_151bp	MP1161_101bp	MP1161_151bp	MP1163_101bp	MP1163_151bp	MP1165_101bp	MP1165_151bp	MP1173_101bp	MP1173_151bp	MP1175_101bp	MP1175_151bp	MP1177_101bp	MP1177_151bp	MP1516_101bp	MP1516_151bp	MP1518_101bp	MP1518_151bp	MP1522_101bp	MP1522_151bp	MP1524_101bp	MP1524_151bp	MP1526_101bp	MP1526_151bp	MP1528_101bp	MP1528_151bp	MP2808_101bp	MP2808_151bp	MP2810_101bp	MP2810_151bp	MP2812_101bp	MP2812_151bp	MP2814_101bp	MP2814_151bp	MP2818_101bp	MP2818_151bp	MP2820_101bp	MP2820_151bp
BMK1850	Dinoflagellata	Alveolata	0	0	0	0	1	1	2	3	0	0	1	5	1	5	1	7	0	1	0	0	1	2	1	2	3	2	2	1	0	0	2	2	6	7	3	5	9	19
BMK1864	Perkinsidae	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
BMK1893	Choanomonada	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BMK20325	Dinoflagellata	Alveolata	0	0	1	1	0	0	1	1	2	3	1	3	2	3	3	10	0	0	0	0	1	2	0	1	7	6	0	0	0	1	0	3	2	5	6	8	5	12
BMK2050	MALV-IV	Alveolata	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK20676	Perkinsidae	Alveolata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK20776	Ciliophora	Alveolata	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK20930	Dinoflagellata	Alveolata	1	0	1	1	14	6	5	3	0	0	0	3	10	10	6	8	1	3	0	1	6	6	8	5	20	23	4	6	2	3	5	3	2	6	0	2	4	9
BMK2128	Choanomonada	Obazoa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK21300	Dinoflagellata	Alveolata	0	0	0	0	3	1	2	0	2	2	1	0	2	1	1	0	2	0	0	0	1	0	4	0	2	0	1	0	0	0	0	0	2	1	1	0	4	2
BMK21361	Ciliophora	Alveolata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK21470	Dinoflagellata	Alveolata	4	5	27	33	75	82	70	97	174	203	190	234	127	211	187	250	9	22	14	10	79	77	67	76	204	253	92	155	20	36	65	88	183	223	244	246	303	407
BMK21497	Ciliophora	Alveolata	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	4	0	0	2	1
BMK2181	MALV-I	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	2	0	0
BMK2206	MOCH-2	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
BMK2224	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BMK2260	Diatomea	Stramenopiles	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK22972	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
BMK2425	MALV-II	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK2488	Cercozoa	Rhizaria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
